userName,score,at,content,Primary Issue Category,Support Contacted,Outcome
Heidi H,1,2026-07-22 20:46:19,not good,Other / Generic,Unclear,N/A
Snehashish Jana,3,2026-07-22 20:45:13,good,Other / Generic,Unclear,N/A
Shantilal Joshi,1,2026-07-22 20:35:05,"Very disappointing experience with Zomato. I received a completely cold pizza, and when I raised the issue immediately, my concern was not resolved satisfactorily. Delivering cold food is one problem, but ignoring genuine customer complaints is even worse.I paid for fresh food and reliable service but got neither. This experience was a complete waste of money and time. If Zomato cannot ensure food quality provide proper customer support when things go wrong, it seriously affects customer trust.",Order Accuracy,Yes,N/A
Amresh Dalai,2,2026-07-22 20:34:52,average,Other / Generic,Unclear,N/A
Bithi Sonowal,1,2026-07-22 20:33:36,This app doesn't even deserve one star . No cash on delivery.😂,Other / Generic,Unclear,N/A
Sanjaya Nahak,1,2026-07-22 20:31:59,"I am ordering one cafe Oberai bakes &cafe .. but he is delivery me one broken cake 🎂. I am complaint but zomato support and restaurant not listen my complaint,,, don't order any order to zomato .. always better swiggy ..",Refund / Support Friction,Yes,N/A
Mohammed Idrees,1,2026-07-22 20:31:15,No offers,Other / Generic,Unclear,N/A
anuj dhaka,1,2026-07-22 20:29:30,this is ridiculous how can you say this is afghani pander Tikka.,Other / Generic,Unclear,N/A
Charu B,1,2026-07-22 20:28:08,The don't refund the amount after their customer care says that they will. I want people who have faced the same issue to reach out to me so that we all can find out how much revenue they are generating through fraud and can take legal action.,Refund / Support Friction,Yes,N/A
HUZAIFA HUZAIFA,3,2026-07-22 20:24:15,👍,Other / Generic,Unclear,N/A
Rocky Kumar,3,2026-07-22 20:23:27,good,Other / Generic,Unclear,N/A
Abhijeet Patil,1,2026-07-22 20:22:44,"worst food delivery app of all, no time value, no proper organisation for delivery",Delivery Speed,Unclear,N/A
Kothwal4639 Cherry,1,2026-07-22 20:17:22,Every single order I make I never get the food. The delivery service is awful...,Other / Generic,Unclear,N/A
Chals Vh,1,2026-07-22 20:02:33,you charge extreme,Other / Generic,Unclear,N/A
Mahendra Singh Panwar,3,2026-07-22 19:55:22,good,Other / Generic,Unclear,N/A
Proud Indian,1,2026-07-22 19:53:43,"Very Bad experience wid the illogical Customer service. The false promises &no responsibility adds more -ve adjectives to your name Zomato. Dey don't wnt2 take responsibility 4 dr own delivery partners who r alrdy frustrated wit dr own company. Wdout marking"" Collected"" 4m the outlet dey eat ur food and the zomato ppl ll 1st tell u to wait for 15mins to know the status of already lost order. den dr senior exec calls& apologize wit a coupon 2x the value but ITS ALL LIE u won't get any coupon evr",Refund / Support Friction,Yes,Coupon Given
Sandip Bariya,3,2026-07-22 19:47:31,Nice,Other / Generic,Unclear,N/A
Pooja Bhosle,1,2026-07-22 19:43:29,very bad टेस्ट,Other / Generic,Unclear,N/A
Dr. Aneeshya Sara Abraham,1,2026-07-22 19:43:26,"Rates are unfairly high than the real restaurant price. The portion size is also not standard. I just ordereda chilli chicken, the price was listed 275, but on the actual bill it says 190. I tried to contact the customer no response or no option to contact a real associate just AI chat, which just says they will provide good service in the future. Utterly disappointed.",Refund / Support Friction,Yes,N/A
Debashree Dey,1,2026-07-22 19:43:18,"No dressing in salad...simply they cut cucumber, tomato, carrot and two green chilly...not happy at all with the delivery.",Other / Generic,Unclear,N/A
WEIRD GAMER,1,2026-07-22 19:41:12,don't use this app the customer care does not care for you. And if u try to reach them tey just say that they will reach you in 24 hrs. what will I do in 24 hrs if I am hungry now,Refund / Support Friction,Yes,N/A
Juned Badshah,2,2026-07-22 19:29:58,the item was less in quantity but there was no resolutions from Zomato wasted my money,Order Accuracy,Unclear,N/A
Rushikesh Bandal,3,2026-07-22 19:26:12,good😇,Other / Generic,Unclear,N/A
Pranav Kumar,2,2026-07-22 19:22:30,just good,Other / Generic,Unclear,N/A
Ashish Emrith,1,2026-07-22 19:18:43,food delivery is 2× time later than expected,Delivery Speed,Unclear,N/A
Rishi Jhajha,1,2026-07-22 19:18:10,very bad service and their executive are very bad communication I stop this app very bad experience today,Other / Generic,Yes,N/A
rohit singh,1,2026-07-22 19:17:38,"Please avoid joining Zomato or Blinkit. I had a pending amount of ₹3,000 that was never processed despite multiple follow-ups. Extremely disappointing experience. Candidates, stay alert and verify everything before joining. #Zomato #Blinkit #DeepinderGoyal #Hiring #JobAlert",Other / Generic,Unclear,N/A
Ravindranath Reddy,1,2026-07-22 19:12:36,"Zomato ! You are ripping us off. This afternoon I ordered paneer jilebi from Emerald sweets at Indira Park, Hyderabad. The price quoted in your menu was Rs. 375.00 for 250 gms and with uour charges it came upto Rs. 390.00. As the delivery was getting very delayed I canceled the order and I went to another Emerald outlet at Shivam Road and picked up the same quantity of 250 gms of Paneer jilebi at Rs 245.00 including taxes. It's Cheating, right ?",Order Accuracy,Unclear,N/A
Vivek M,1,2026-07-22 19:00:54,worst possible customer care and resolution of issues. Better to order from Swiggy,Refund / Support Friction,Yes,N/A
Bobby Kolakaluri,1,2026-07-22 18:54:23,not coming offers why sir,Other / Generic,Unclear,N/A
Riyaz Nadaf,3,2026-07-22 18:53:59,super,Other / Generic,Unclear,N/A
2014 0101,1,2026-07-22 18:46:56,"Very worst no proper customer service every time bot replies and at the end it will say send email, after sending emails no response from them, ridiculous service if any one has any issues about delivered products there will not be any solutions, my personal experience is really worst with Zomato.",Delivery Speed,Yes,N/A
DEEPAK KUMAR,1,2026-07-22 18:38:41,good delivery,Other / Generic,Unclear,N/A
manohar Babu,3,2026-07-22 18:34:49,required more enhancement,App Bug / UI,Unclear,N/A
Dhruv Dutta,1,2026-07-22 18:28:17,"I don't like the delivery partner in zomato. They came to me to deliver food and suddenly clicked a photo of me while I was unaware. Later when I caught him, he said that it's a photo clicked as proof of order delivery. I made him delete it. zomato doesn't have any email or customer contact number so there is no evidence to store this incident. so i write here for everyone to know. zomato experience is not good.",Delivery Speed,Unclear,N/A
Kundan Kumar pandey,3,2026-07-22 18:26:15,good 👍,Other / Generic,Unclear,N/A
Assistant Director Consumer Affairs,1,2026-07-22 18:21:22,"very very poor service, Customer care is very bad 👎",Refund / Support Friction,Yes,N/A
Akshra Kumari,1,2026-07-22 18:08:59,bad,Other / Generic,Unclear,N/A
Shinu Mon. M. G Shinu Mon.M.G,1,2026-07-22 18:08:22,lag on the app,Other / Generic,Unclear,N/A
Sandip Bhattacharjee,1,2026-07-22 17:57:14,scam scamm scam Zomato,Refund / Support Friction,Unclear,N/A
Jagu Rana,2,2026-07-22 17:56:01,nice,Other / Generic,Unclear,N/A
shubham utkarsh,1,2026-07-22 17:54:36,Worst... Order food at night before 12pm Got my order canceled at 12:55 coz no delivery partner.. Then don't take online orders when and make some one hungry wait 1hr before canceling it... Their Customer support is like talking to a wall AI don't know what it's saying... Very disappointed very very...,Refund / Support Friction,Yes,N/A
Ashwini Ray,1,2026-07-22 17:38:16,"one of the worst apps to order food from....their customer service team tops it all.... I am a ""zomato gold"" member still if you highlight it something they will make you feel that you did something wrong and are a liar..... it was wonderful having a conversation with Pranit and Munugapatti as they helped me in wasting my time....NEVER USING IT AGAIN",Order Accuracy,Unclear,N/A
Lingaaa A,1,2026-07-22 17:31:08,"if you accidentally change the delivery address without noticing and then contact the support team, even if the address is 80 km away, they'll simply tell you, 'Please go there by bike and collect it yourself, sir.' They won't provide a refund, and they won't change the delivery address either. very very worst customer support",Refund / Support Friction,Yes,N/A
Sumaiya,3,2026-07-22 17:27:48,nice 👍🏻,Other / Generic,Unclear,N/A
Alwin vlogs,1,2026-07-22 17:14:09,when I order a food in train the order not delivered to me and the fund refund spotlye but there is no option to eat food in there that was the experience faced me I tell this complaint so many times to Zomato customer care there was no response very bad experience from zomato,Refund / Support Friction,Yes,N/A
Sharmila Biswas,1,2026-07-22 17:05:03,I have been ordering food for years from zomato but never had pathetic experience like this earlier.I ordered a protien wrap but the delivery agent could not locate my address don't know why so the order got cancelled and the zomato is refusing to pay the refund right now.,Refund / Support Friction,Yes,N/A
Vishal Biskarma,3,2026-07-22 17:01:41,good apps,Other / Generic,Unclear,N/A
Shivam Sahu,1,2026-07-22 16:52:21,😭😭,Other / Generic,Unclear,N/A
ALL CARTOONS,1,2026-07-22 16:43:32,"probably the worst app i ever used, yesterday I ordered veg meals from a restaurant and I received chicken roast and butter milk ,I raised this issue and instead of connecting me to an associate they are like please write us at zomato@..... and im like ughh, later I mailed them the response Thanks for reaching out. We’re sorry for the inconvenience. After review, we’re unable to take further action. We’ve flagged this internally to help prevent similar issues.Thanks for understanding 🙏 ...",Order Accuracy,Yes,Refund Denied
Atharva Binawade,1,2026-07-22 16:38:26,very bad and order delayed by 30 mins and no customer service,Delivery Speed,Unclear,N/A
Thirumalesh Ranganathan,1,2026-07-22 16:34:20,"I had an issue with the food delivered but Zomato responded saying contact the restaurant worst experience ever, never using the app again",Other / Generic,Unclear,N/A
Anurag Singh,1,2026-07-22 16:26:24,good,Other / Generic,Unclear,N/A
Sukesh Rai,2,2026-07-22 16:25:21,good,Other / Generic,Unclear,N/A
Dev Bohra,1,2026-07-22 16:24:55,Due to ulcers i cannot eat spicy so I already explained that prepare food at zero mirchi but still spicy food received and also restaurant has accepted my zero mirchi request so I continued this order.,Other / Generic,Unclear,N/A
Abir Sarkar,1,2026-07-22 16:20:21,cash on delivery not available,Other / Generic,Unclear,N/A
SOPAN SINGHA,1,2026-07-22 16:19:21,customer care service is very poor. the delivery partner delivered the order somewhere else but they failed to resolve the issue.,Refund / Support Friction,Yes,N/A
Lohitha Rongali,1,2026-07-22 16:16:50,very poor service,Other / Generic,Unclear,N/A
Shreejan Shil,3,2026-07-22 16:16:45,it's to much platform fee.,Other / Generic,Unclear,N/A
Manoj Manu,3,2026-07-22 15:53:09,ok Nice,Other / Generic,Unclear,N/A
Abhishek Brahmachary,1,2026-07-22 15:38:10,"they take no accountability. charge full price and make you wait so that they can reap the profit. it's a lose lose situation for the restaurant, delivery partner and the customer.",Delivery Speed,Unclear,N/A
Anup Sarkar,1,2026-07-22 15:37:57,Cash on delivery unavailable 😡,Other / Generic,Unclear,N/A
ganesh kokate,1,2026-07-22 15:37:08,my order not picked,Other / Generic,Unclear,N/A
Madhusudan P M,1,2026-07-22 15:25:38,"I ordered a birthday cake from Aubree, and it has been delayed for over 2 hours. The assigned delivery executive is not picking up calls, and I have absolutely no idea when the delivery will finally be made. Since it is a fresh cake sitting on a bike for over two hours, I am highly concerned that it is completely melted and ruined. How can anyone trust Zomato with tight timelines for important events like birthdays? To make a bad situation worse, the customer support team has been unhelpful...",Refund / Support Friction,Yes,N/A
anupam mathur,1,2026-07-22 15:20:18,This AI chat is really Pathetic. The AI assistant niether give you any resolution nor connect you to a live agent. It seems Zomato is cutting costs by replacing live agents with AI agents. It may reduce cost but surely will reduxe the revenue of zomato as customers will finally drift to swiggy or other food apps.,Refund / Support Friction,Yes,N/A
technical Rohan Alam,1,2026-07-22 15:09:32,garbage app,Other / Generic,Unclear,N/A
Shubham Saurav,1,2026-07-22 15:08:35,late ata h,Delivery Speed,Unclear,N/A
sutharnitu sutharnitu,1,2026-07-22 15:04:55,👍,Other / Generic,Unclear,N/A
Jaya Yadav,1,2026-07-22 15:01:35,"Jisko bhi bhejiye next time usko tameej sikha kr bhejiye kyuki we are girls agr humne koi order kiya hai to vo khudse dene aaye on door na ki hum lene jayenge road pr , aur jb bola ki road pr nhi ayenge hum aap door ke pass aa jao to reply ata hai ki humari garz nhi hai aapko ana hai idhar aayiye vrna mai vapas lekr challa jaunga ,agr esse log rhe zomato m to zomato ki service lene se achcha hai hum khudse lepinoz jaakr khaa le yhaa se fir kafi achcha hoga ,phli baar itna ganda experience rhahai",Delivery Speed,Unclear,N/A
Nikita,1,2026-07-22 14:51:19,very very worst app I ordered a pasta and it was all spilled and sticked to polythene there was no proper packaging and there was small sharp pieces of wood too like seriously you want us hospitalized. when I tried to report they told me to email I did ..but no response came from them deleting this app never ordering again and you guys should also not ordered from this again very shityy app,Food Quality,Unclear,N/A
Lovely Sharma,1,2026-07-22 14:44:44,yesterday i have order some of burgers from Mac d to janter mantar complete the payment of 1253 rs but after long i get a call from mac that we are unable to complete your order and we are cancelling your order what is this and my amount is also not refunded should i go for legal or you will arrange a call for clarification,Refund / Support Friction,Yes,Refund Approved
Vivek,1,2026-07-22 14:35:49,"I received spoiled spring rolls with a foul smell and contacted Zomato support. They asked me to email them and promised a resolution within 24 hours. I returned the spoiled spring rolls to the nearby restaurant, where I was asked to place another order while they inspected the vendor. Zomato never replied to my email. A serious food safety issue was ignored. Based on my experience, I recommend using other food delivery apps.",Refund / Support Friction,Yes,N/A
hiffzur rahman,1,2026-07-22 14:13:57,I really don't know how this is happening simple order is taking 40 mins and most of the time delivery partner is assigned other delivery also this is making delivery too late I am starting to hate this app now my last 7 to 8 delievery s has got delayed why to use this app when every time I am the last priority same issue more than 1hr I am deleting this aap,Delivery Speed,Unclear,N/A
Pranjal Pal,1,2026-07-22 14:13:40,great dilevery,Other / Generic,Unclear,N/A
sanup sau,1,2026-07-22 14:04:36,"You have completely given me useless items that I ordered, and those are not available. I am very disappointed after placing the order with you.😡",Order Accuracy,Unclear,N/A
